City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
711,Ahipara,NZ,75.45,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
712,Vaini,TO,80.55,light rain,-21.2,-175.2,Keleti Beach Resort
713,Lorengau,PG,79.09,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
715,Sao Jose Da Coroa Grande,BR,79.2,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
717,Machala,EC,82.35,light rain,-3.2667,-79.9667,"Hotel ""Bolivar Internacional"""
720,Roxas,PH,78.04,broken clouds,11.5853,122.7511,Urban Manor Hotel
721,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
733,Souillac,MU,79.18,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
736,Mahibadhoo,MV,81.86,broken clouds,3.7833,72.9667,Omadhoo Inn
743,Butaritari,KI,82.11,few clouds,3.0707,172.7902,Isles Sunset Lodge
745,Hithadhoo,MV,81.55,broken clouds,-0.6,73.0833,Scoop Guest House
752,Anloga,GH,75.42,overcast clouds,5.7947,0.8973,Pin Drop Hotel
754,Kasiri,SL,76.35,scattered clouds,8.9412,-13.1148,
755,Cootamundra,AU,76.95,clear sky,-34.65,148.0333,Cootamundra Gardens Motel & indian restaurant
760,Hilo,US,78.12,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
763,Benjamin Constant,BR,84.33,few clouds,-4.3831,-70.0311,CASA AVALIADA
766,Bowen,AU,80.82,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
768,Tecoanapa,MX,82.94,clear sky,16.5167,-98.75,Hotel Manglares
772,Bambous Virieux,MU,79.05,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
778,Faanui,PF,80.83,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
779,Rikitea,PF,76.86,overcast clouds,-23.1203,-134.9692,People ThankYou
785,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
786,Kapaa,US,81.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
787,Manado,ID,75.97,few clouds,1.487,124.8455,Aryaduta Hotel
