City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country
0,Ahipara,-35.1667,173.1667,67.33,78,100,11.01,overcast clouds,
1,Vaini,-21.2,-175.2,79.88,78,100,13.13,moderate rain,
2,Lorengau,-2.0226,147.2712,79.09,83,100,11.14,overcast clouds,
3,Ushuaia,-54.8,-68.3,47.86,61,75,28.77,light intensity drizzle,
4,Sao Jose Da Coroa Grande,-8.8978,-35.1478,81.77,75,99,10.22,overcast clouds,
5,Ahipara,-35.1667,173.1667,71.65,65,95,12.35,overcast clouds,
6,Vaini,-21.2,-175.2,79.81,78,100,12.06,light rain,
7,Lorengau,-2.0226,147.2712,78.3,87,100,12.01,overcast clouds,
8,Ushuaia,-54.8,-68.3,47.86,61,75,28.77,light intensity drizzle,
9,Sao Jose Da Coroa Grande,-8.8978,-35.1478,80.26,79,99,10.11,overcast clouds,
10,Ancud,-41.8697,-73.8203,62.13,56,27,12.57,scattered clouds,
11,Machala,-3.2667,-79.9667,84.15,65,75,8.05,light rain,
12,Bredasdorp,-34.5322,20.0403,70.92,78,99,8.05,overcast clouds,
13,Nikolskoye,59.7035,30.7861,27.39,95,100,6.73,light snow,
14,Roxas,11.5853,122.7511,76.57,86,84,1.59,broken clouds,
15,Arraial Do Cabo,-22.9661,-42.0278,82.36,74,40,4.61,scattered clouds,
16,Cape Town,-33.9258,18.4232,68.88,82,0,5.01,clear sky,
17,Tazovskiy,67.4667,78.7,-10.1,98,100,7.94,overcast clouds,
18,Hobart,-42.8794,147.3294,59.11,90,75,1.01,broken clouds,
19,Castro,-24.7911,-50.0119,64.9,96,97,6.51,overcast clouds,
20,Punta Arenas,-53.15,-70.9167,53.71,40,40,28.77,scattered clouds,
21,New Norfolk,-42.7826,147.0587,59.76,78,5,1.97,clear sky,
22,Wabag,-5.4781,143.7021,54.16,97,98,2.93,overcast clouds,
23,Fairbanks,64.8378,-147.7164,-11.07,73,0,0.0,clear sky,
24,Begoro,6.3871,-0.3774,74.25,28,100,2.77,overcast clouds,
25,Guadalupe Y Calvo,26.1,-106.9667,57.27,28,31,13.33,scattered clouds,
26,Tasiilaq,65.6145,-37.6368,8.76,45,95,17.18,overcast clouds,
27,Souillac,-20.5167,57.5167,79.36,94,75,9.22,light rain,
28,Mataura,-46.1927,168.8643,63.48,82,47,1.19,scattered clouds,
29,Kisanga,-7.4362,37.7034,73.74,97,98,4.27,light rain,
30,Mahibadhoo,3.7833,72.9667,82.0,75,84,11.54,broken clouds,
31,Kaitangata,-46.2817,169.8464,67.93,80,17,2.26,few clouds,
32,Prince Rupert,54.3161,-130.3201,39.29,87,100,5.75,overcast clouds,
33,Izazi,-7.2,35.7333,71.2,92,100,1.32,light rain,
34,Matara,5.9485,80.5353,75.6,93,36,7.36,scattered clouds,
35,Port Blair,11.6667,92.75,69.84,88,20,2.3,mist,
36,Esperance,-33.8667,121.9,64.24,71,48,8.99,scattered clouds,
37,Butaritari,3.0707,172.7902,81.81,76,18,21.03,light rain,
38,Ginir,7.1333,40.7,58.69,19,77,6.29,broken clouds,
39,Hithadhoo,-0.6,73.0833,81.61,70,81,9.04,broken clouds,
40,Leningradskiy,69.3833,178.4167,-12.53,94,98,2.95,overcast clouds,
41,Nara,34.6851,135.8049,34.97,71,32,2.17,scattered clouds,
42,Hermanus,-34.4187,19.2345,70.81,85,100,13.65,overcast clouds,
43,Zhigansk,66.7697,123.3711,-33.83,100,100,2.01,overcast clouds,
44,Brae,60.3964,-1.353,39.11,96,100,14.97,overcast clouds,
45,Thessalon,46.2501,-83.5666,25.29,81,92,5.44,overcast clouds,
46,Anloga,5.7947,0.8973,82.62,69,100,8.03,overcast clouds,
47,Hualmay,-11.0964,-77.6139,73.08,77,100,9.71,overcast clouds,
48,Kasiri,8.9412,-13.1148,82.58,84,47,7.85,scattered clouds,
49,Cootamundra,-34.65,148.0333,67.95,77,0,4.61,clear sky,
50,Barrow,71.2906,-156.7887,-9.38,70,100,8.05,overcast clouds,
51,Jamestown,42.097,-79.2353,21.02,51,100,4.0,overcast clouds,
52,Torbay,47.6666,-52.7314,43.57,81,100,33.38,overcast clouds,
53,Birsk,55.4211,55.5428,20.66,96,99,6.73,light snow,
54,Hilo,19.7297,-155.09,78.53,50,20,5.75,few clouds,
55,Jumla,29.2747,82.1838,35.82,45,0,4.21,clear sky,
56,Yellowknife,62.456,-114.3525,-7.58,95,100,6.91,mist,
57,Benjamin Constant,-4.3831,-70.0311,89.73,48,92,3.02,overcast clouds,
58,Leh,34.1667,77.5833,6.08,91,100,1.74,overcast clouds,
59,Three Hills,51.7001,-113.2686,45.48,42,50,8.43,scattered clouds,
60,Bowen,-20.0167,148.2333,75.42,83,55,7.58,broken clouds,
61,Berlevag,70.8578,29.0864,30.2,93,75,17.27,light snow,
62,Tecoanapa,16.5167,-98.75,83.98,62,3,10.96,clear sky,
63,Wanning,18.8003,110.3967,69.3,87,100,14.67,overcast clouds,
64,Luderitz,-26.6481,15.1594,66.11,85,89,8.28,overcast clouds,
65,Avarua,-21.2078,-159.775,75.25,94,75,5.75,broken clouds,
66,Bambous Virieux,-20.3428,57.7575,79.21,94,75,9.22,light rain,
67,Kodiak,57.79,-152.4072,26.11,68,40,14.97,scattered clouds,
68,Estevan,49.1334,-102.9842,30.54,74,0,9.35,clear sky,
69,Isla Mujeres,21.2311,-86.731,73.45,60,81,10.31,broken clouds,
70,Tuktoyaktuk,69.4541,-133.0374,-2.2,84,100,19.57,light snow,
71,Aiquile,-18.2041,-65.1807,72.9,39,24,13.2,few clouds,
72,Faanui,-16.4833,-151.75,80.2,73,11,7.52,light rain,
73,Rikitea,-23.1203,-134.9692,76.33,69,100,4.56,overcast clouds,
